Duration,Intended Duration,Difference
0.4138557,Infinity,
0.2121287,0.5,
0.4904404,0.5,0.0095596
0.5037227,0.5,-0.0037227
0.4971362,0.5,0.0028638
0.5037881,0.5,-0.0037881
0.4933241,0.5,0.0066759
0.507071,0.5,-0.007071
0.4918453,0.5,0.0081547
0.4981034,0.5,0.0018966
0.5145205,0.5,-0.0145205
0.4902138,0.5,0.0097862
0.5105028,0.5,-0.0105028
0.4852717,0.5,0.0147283
0.5149866,0.5,-0.0149866
0.4870002,0.5,0.0129998
0.4872885,0.5,0.0127115
0.519738,0.5,-0.019738
0.492348,0.5,0.007652
0.5116311,0.5,-0.0116311
0.4878824,0.5,0.0121176
0.5137717,0.5,-0.0137717
0.4898448,0.5,0.0101552
0.5088877,0.5,-0.0088877
0.490651,0.5,0.009349
0.4966948,0.5,0.0033052
0.5085206,0.5,-0.0085206
0.4906991,0.5,0.0093009
0.5131601,0.5,-0.0131601
0.4883146,0.5,0.0116854
0.5118052,0.5,-0.0118052
0.4866685,0.5,0.0133315
0.4895442,0.5,0.0104558
0.5230661,0.5,-0.0230661
0.4898345,0.5,0.0101655
0.5101413,0.5,-0.0101413
0.4962627,0.5,0.0037373
0.5025167,0.5,-0.0025167
0.4883198,0.5,0.0116802
0.5134094,0.5,-0.0134094
0.4911962,0.5,0.0088038
0.4996802,0.5,0.0003198
0.5083995,0.5,-0.0083995
0.4871244,0.5,0.0128756
0.514203,0.5,-0.014203
0.4904732,0.5,0.0095268
0.5047482,0.5,-0.0047482
0.4942075,0.5,0.0057925
0.4871429,0.5,0.0128571
0.518509,0.5,-0.018509
0.4968683,0.5,0.0031317
0.5044224,0.5,-0.0044224
0.4909764,0.5,0.0090236
0.5086906,0.5,-0.0086906
0.4962653,0.5,0.0037347
0.5097314,0.5,-0.0097314
0.4842116,0.5,0.0157884
0.5003358,0.5,-0.0003358
0.5113469,0.5,-0.0113469
0.4879332,0.5,0.0120668
0.5184512,0.5,-0.0184512
0.4814569,0.5,0.0185431
0.5106383,0.5,-0.0106383
0.4890355,0.5,0.0109645
0.4957983,0.5,0.0042017
0.5157565,0.5,-0.0157565
0.4946451,0.5,0.0053549
0.5077462,0.5,-0.0077462
0.4859342,0.5,0.0140658
0.5111162,0.5,-0.0111162
0.4937626,0.5,0.0062374
0.5080349,0.5,-0.0080349
0.4870729,0.5,0.0129271
0.5034987,0.5,-0.0034987
0.5067934,0.5,-0.0067934
0.4949253,0.5,0.0050747
0.5086941,0.5,-0.0086941
0.4879132,0.5,0.0120868
0.5118479,0.5,-0.0118479
0.4881604,0.5,0.0118396
0.4890878,0.5,0.0109122
0.5190576,0.5,-0.0190576
0.4929578,0.5,0.0070422
0.5078245,0.5,-0.0078245
0.4905757,0.5,0.0094243
,,0.0138212
