Duration,Intended Duration,
0.4069495,Infinity,
0.1791331,0.5,
0.4873623,0.5,-0.0126377
0.5124083,0.5,0.0124083
0.4847806,0.5,-0.0152194
0.5114517,0.5,0.0114517
0.4951287,0.5,-0.0048713
0.5030269,0.5,0.0030269
0.4945107,0.5,-0.0054893
0.4957114,0.5,-0.0042886
0.5158846,0.5,0.0158846
0.4853223,0.5,-0.0146777
0.5089433,0.5,0.0089433
0.4903244,0.5,-0.0096756
0.5123836,0.5,0.0123836
0.4862939,0.5,-0.0137061
0.4902713,0.5,-0.0097287
0.5235879,0.5,0.0235879
0.4880443,0.5,-0.0119557
0.5098956,0.5,0.0098956
0.4902582,0.5,-0.0097418
0.5122591,0.5,0.0122591
0.4866856,0.5,-0.0133144
0.5097305,0.5,0.0097305
0.4895981,0.5,-0.0104019
0.5050897,0.5,0.0050897
0.5098181,0.5,0.0098181
0.4868168,0.5,-0.0131832
0.5130437,0.5,0.0130437
0.4916545,0.5,-0.0083455
0.503732,0.5,0.003732
0.4930047,0.5,-0.0069953
0.4878318,0.5,-0.0121682
0.5251325,0.5,0.0251325
0.4886902,0.5,-0.0113098
0.5085162,0.5,0.0085162
0.4882676,0.5,-0.0117324
0.5098854,0.5,0.0098854
0.4893076,0.5,-0.0106924
0.5146772,0.5,0.0146772
0.4892526,0.5,-0.0107474
0.497016,0.5,-0.002984
0.5178676,0.5,0.0178676
0.4825772,0.5,-0.0174228
0.5146419,0.5,0.0146419
0.4825164,0.5,-0.0174836
0.5154751,0.5,0.0154751
0.490109,0.5,-0.009891
0.4861537,0.5,-0.0138463
0.5206577,0.5,0.0206577
0.4890612,0.5,-0.0109388
0.5134122,0.5,0.0134122
0.4879644,0.5,-0.0120356
0.5089513,0.5,0.0089513
0.4902886,0.5,-0.0097114
0.5098119,0.5,0.0098119
0.4896476,0.5,-0.0103524
0.4986728,0.5,-0.0013272
0.5114821,0.5,0.0114821
0.4895112,0.5,-0.0104888
0.5112093,0.5,0.0112093
0.4918355,0.5,-0.0081645
0.5105581,0.5,0.0105581
0.4887775,0.5,-0.0112225
0.4935314,0.5,-0.0064686
0.5173463,0.5,0.0173463
0.4894784,0.5,-0.0105216
0.5062276,0.5,0.0062276
0.4932797,0.5,-0.0067203
0.5071564,0.5,0.0071564
0.49693,0.5,-0.00307
0.5078514,0.5,0.0078514
0.4863375,0.5,-0.0136625
0.5034759,0.5,0.0034759
0.5058728,0.5,0.0058728
0.4948535,0.5,-0.0051465
0.5087155,0.5,0.0087155
0.4878038,0.5,-0.0121962
0.5111601,0.5,0.0111601
0.4907451,0.5,-0.0092549
0.4922093,0.5,-0.0077907
0.524372,0.5,0.024372
0.486329,0.5,-0.013671
0.5089628,0.5,0.0089628
0.4912729,0.5,-0.0087271
0.5080554,0.5,0.0080554
0.4853657,0.5,-0.0146343
0.5121174,0.5,0.0121174
0.4883975,0.5,-0.0116025
0.5014086,0.5,0.0014086
0.5104818,0.5,0.0104818
0.4933069,0.5,-0.0066931
0.5086498,0.5,0.0086498
0.4893563,0.5,-0.0106437
0.510389,0.5,0.010389
0.4880396,0.5,-0.0119604
0.4897418,0.5,-0.0102582
0.520488,0.5,0.020488
0.4900781,0.5,-0.0099219
0.5077499,0.5,0.0077499
0.4925907,0.5,-0.0074093
0.5103261,0.5,0.0103261
0.4899078,0.5,-0.0100922
0.5123523,0.5,0.0123523
0.484171,0.5,-0.015829
0.5018806,0.5,0.0018806
0.5084842,0.5,0.0084842
0.4937301,0.5,-0.0062699
0.5103474,0.5,0.0103474
0.4882531,0.5,-0.0117469
0.5115308,0.5,0.0115308
0.4880709,0.5,-0.0119291
0.4887489,0.5,-0.0112511
0.5184639,0.5,0.0184639
0.4970099,0.5,-0.0029901
0.5063133,0.5,0.0063133
0.4910851,0.5,-0.0089149
0.5119708,0.5,0.0119708
0.4905997,0.5,-0.0094003
0.5056425,0.5,0.0056425
0.4887837,0.5,-0.0112163
0.5024386,0.5,0.0024386
0.5100769,0.5,0.0100769
0.4911429,0.5,-0.0088571
0.5089082,0.5,0.0089082
0.4893055,0.5,-0.0106945
0.5098515,0.5,0.0098515
0.49148,0.5,-0.00852
0.4885923,0.5,-0.0114077
0.5223734,0.5,0.0223734
0.4857616,0.5,-0.0142384
0.5157921,0.5,0.0157921
0.4827633,0.5,-0.0172367
0.5112,0.5,0.0112
0.4903468,0.5,-0.0096532
0.5157473,0.5,0.0157473
0.4870387,0.5,-0.0129613
0.4987081,0.5,-0.0012919
0.5109097,0.5,0.0109097
0.4906591,0.5,-0.0093409
0.511213,0.5,0.011213
0.4863333,0.5,-0.0136667
0.5084364,0.5,0.0084364
0.4951632,0.5,-0.0048368
0.4879001,0.5,-0.0120999
0.5220791,0.5,0.0220791
0.4890155,0.5,-0.0109845
0.5076412,0.5,0.0076412
0.4928569,0.5,-0.0071431
0.5068898,0.5,0.0068898
0.4903613,0.5,-0.0096387
0.5092214,0.5,0.0092214
0.4941323,0.5,-0.0058677
0.4951896,0.5,-0.0048104
0.5110858,0.5,0.0110858
0.4955448,0.5,-0.0044552
0.5068462,0.5,0.0068462
0.4921024,0.5,-0.0078976
0.5087999,0.5,0.0087999
0.4872973,0.5,-0.0127027
0.4912671,0.5,-0.0087329
0.5213628,0.5,0.0213628
0.4880853,0.5,-0.0119147
0.5114608,0.5,0.0114608
0.4893731,0.5,-0.0106269
0.5092037,0.5,0.0092037
0.4896271,0.5,-0.0103729
0.5077645,0.5,0.0077645
0.4923115,0.5,-0.0076885
0.5030894,0.5,0.0030894
0.5064602,0.5,0.0064602
0.4876095,0.5,-0.0123905
0.5101781,0.5,0.0101781
0.4927289,0.5,-0.0072711
0.5134737,0.5,0.0134737
0.4859841,0.5,-0.0140159
0.4889325,0.5,-0.0110675
0.5253785,0.5,0.0253785
0.4902443,0.5,-0.0097557
0.5133313,0.5,0.0133313
0.4901733,0.5,-0.0098267
0.5026221,0.5,0.0026221
0.4896901,0.5,-0.0103099
0.5075681,0.5,0.0075681
0.4965297,0.5,-0.0034703
0.4982776,0.5,-0.0017224
0.5074955,0.5,0.0074955
0.4927993,0.5,-0.0072007
0.50697,0.5,0.00697
0.4915809,0.5,-0.0084191
0.5097046,0.5,0.0097046
0.4917674,0.5,-0.0082326
0.485458,0.5,-0.014542
0.5246062,0.5,0.0246062
0.4893811,0.5,-0.0106189
0.5095161,0.5,0.0095161
0.4864587,0.5,-0.0135413
0.5147384,0.5,0.0147384
0.4868737,0.5,-0.0131263
0.5103851,0.5,0.0103851
0.4920008,0.5,-0.0079992
0.5020705,0.5,0.0020705
0.5075578,0.5,0.0075578
0.4923996,0.5,-0.0076004
0.5034139,0.5,0.0034139
0.4896156,0.5,-0.0103844
0.5137318,0.5,0.0137318
0.4868149,0.5,-0.0131851
