Duration,Intended Duration,
0.0489681,Infinity,
0.5118555,0.5,0.0118555
0.4928631,0.5,-0.0071369
0.5068535,0.5,0.0068535
0.4929361,0.5,-0.0070639
0.5206783,0.5,0.0206783
0.4861498,0.5,-0.0138502
0.5138621,0.5,0.0138621
0.4860391,0.5,-0.0139609
0.4928034,0.5,-0.0071966
0.5069028,0.5,0.0069028
0.4932017,0.5,-0.0067983
0.5204622,0.5,0.0204622
0.4930905,0.5,-0.0069095
0.5065892,0.5,0.0065892
0.4931846,0.5,-0.0068154
0.4860415,0.5,-0.0139585
0.513683,0.5,0.013683
0.486059,0.5,-0.013941
0.513728,0.5,0.013728
0.4859528,0.5,-0.0140472
0.5208922,0.5,0.0208922
0.4930066,0.5,-0.0069934
0.506761,0.5,0.006761
0.4929951,0.5,-0.0070049
0.4857483,0.5,-0.0142517
0.5139602,0.5,0.0139602
0.486088,0.5,-0.013912
0.5207492,0.5,0.0207492
0.4929472,0.5,-0.0070528
0.5067667,0.5,0.0067667
0.4930323,0.5,-0.0069677
0.4859031,0.5,-0.0140969
0.5139409,0.5,0.0139409
0.4858576,0.5,-0.0141424
0.5139854,0.5,0.0139854
0.4858932,0.5,-0.0141068
0.5207162,0.5,0.0207162
0.4930398,0.5,-0.0069602
0.5067974,0.5,0.0067974
0.4930044,0.5,-0.0069956
0.4859232,0.5,-0.0140768
0.5138695,0.5,0.0138695
0.4859414,0.5,-0.0140586
0.5208099,0.5,0.0208099
0.4930514,0.5,-0.0069486
0.5068083,0.5,0.0068083
0.49288,0.5,-0.00712
0.4929176,0.5,-0.0070824
0.5067648,0.5,0.0067648
0.4929275,0.5,-0.0070725
0.5068995,0.5,0.0068995
0.4929824,0.5,-0.0070176
0.5137917,0.5,0.0137917
0.4930479,0.5,-0.0069521
0.5067551,0.5,0.0067551
0.4930224,0.5,-0.0069776
0.4930325,0.5,-0.0069675
0.5065481,0.5,0.0065481
0.4932188,0.5,-0.0067812
0.520685,0.5,0.020685
0.4858361,0.5,-0.0141639
0.5138572,0.5,0.0138572
0.4860626,0.5,-0.0139374
0.4928098,0.5,-0.0071902
0.507037,0.5,0.007037
0.4928723,0.5,-0.0071277
0.5069049,0.5,0.0069049
0.4929897,0.5,-0.0070103
0.5209521,0.5,0.0209521
0.485764,0.5,-0.014236
0.5137035,0.5,0.0137035
0.4860564,0.5,-0.0139436
0.4929881,0.5,-0.0070119
0.5069695,0.5,0.0069695
0.4928408,0.5,-0.0071592
0.5207926,0.5,0.0207926
0.4866343,0.5,-0.0133657
0.5132504,0.5,0.0132504
0.486076,0.5,-0.013924
0.4927617,0.5,-0.0072383
0.5068561,0.5,0.0068561
0.4928977,0.5,-0.0071023
0.5070168,0.5,0.0070168
0.4928771,0.5,-0.0071229
0.5207477,0.5,0.0207477
0.4930582,0.5,-0.0069418
0.5068321,0.5,0.0068321
0.4926997,0.5,-0.0073003
0.4862078,0.5,-0.0137922
0.5135943,0.5,0.0135943
0.4863049,0.5,-0.0136951
0.5205926,0.5,0.0205926
0.4929507,0.5,-0.0070493
0.5068452,0.5,0.0068452
0.4930804,0.5,-0.0069196
0.4858397,0.5,-0.0141603
0.5138672,0.5,0.0138672
0.4859721,0.5,-0.0140279
0.5136901,0.5,0.0136901
0.4861325,0.5,-0.0138675
0.5206512,0.5,0.0206512
0.4930502,0.5,-0.0069498
0.5067554,0.5,0.0067554
0.493151,0.5,-0.006849
0.4858665,0.5,-0.0141335
0.5137961,0.5,0.0137961
0.4860916,0.5,-0.0139084
0.5206735,0.5,0.0206735
0.4930885,0.5,-0.0069115
0.5069395,0.5,0.0069395
0.4927433,0.5,-0.0072567
0.4861414,0.5,-0.0138586
0.5136341,0.5,0.0136341
0.4859124,0.5,-0.0140876
0.5140123,0.5,0.0140123
0.4859974,0.5,-0.0140026
0.5206643,0.5,0.0206643
0.492965,0.5,-0.007035
0.5069714,0.5,0.0069714
0.4929693,0.5,-0.0070307
0.486037,0.5,-0.013963
0.513533,0.5,0.013533
0.4930388,0.5,-0.0069612
0.5137299,0.5,0.0137299
0.4931512,0.5,-0.0068488
0.5067636,0.5,0.0067636
0.4931338,0.5,-0.0068662
0.4928499,0.5,-0.0071501
0.5069191,0.5,0.0069191
0.4927112,0.5,-0.0072888
0.5070351,0.5,0.0070351
0.492794,0.5,-0.007206
0.5210013,0.5,0.0210013
0.4857918,0.5,-0.0142082
0.5138887,0.5,0.0138887
0.4860203,0.5,-0.0139797
0.4927938,0.5,-0.0072062
0.5068288,0.5,0.0068288
0.4931133,0.5,-0.0068867
0.5207502,0.5,0.0207502
0.4860024,0.5,-0.0139976
0.5137843,0.5,0.0137843
0.4858994,0.5,-0.0141006
0.4932262,0.5,-0.0067738
0.5066807,0.5,0.0066807
0.4929121,0.5,-0.0070879
0.5069588,0.5,0.0069588
0.4927889,0.5,-0.0072111
0.5208426,0.5,0.0208426
0.4859668,0.5,-0.0140332
0.5139226,0.5,0.0139226
0.4858904,0.5,-0.0141096
0.4929736,0.5,-0.0070264
0.5067533,0.5,0.0067533
0.4932266,0.5,-0.0067734
0.5205085,0.5,0.0205085
0.4860899,0.5,-0.0139101
0.5135927,0.5,0.0135927
