Timings,In Time,Score,SessionID
-0.1200001,,,BKUQ - 9807
-0.08000009,TRUE,0,
0.3399999,TRUE,0,
-0.06000009,TRUE,0,
-0.06000009,TRUE,0,
-0.02000009,TRUE,0,
-0.04000009,TRUE,0,
-0.02000009,TRUE,0,
-0.02000009,TRUE,0,
-8.94E-08,TRUE,0,
-8.94E-08,TRUE,0,
-0.04000009,TRUE,0,
-0.04000009,TRUE,0,
-0.08000009,TRUE,0,
-0.1000001,TRUE,0,
0.01999991,TRUE,0,
-8.94E-08,TRUE,0,
-0.04000009,TRUE,0,
-0.02000009,TRUE,0,
-0.04000009,TRUE,5,
0.2999999,FALSE,0,
0.2599999,FALSE,0,
-0.08000009,TRUE,0,
-8.94E-08,TRUE,5,
-8.94E-08,TRUE,10,
-0.02000009,TRUE,10,
-0.04000009,TRUE,10,
-0.08000009,TRUE,10,
-0.02000009,TRUE,10,
-0.02000009,TRUE,10,
-0.02000009,TRUE,0,
-0.02000009,TRUE,0,
-0.04000009,TRUE,0,
-0.08000009,TRUE,0,
-0.04000009,TRUE,0,
-0.04000009,TRUE,0,
-0.02000009,TRUE,0,
-0.04000009,TRUE,0,
-0.02000009,TRUE,5,
0.0999999,TRUE,10,
-8.94E-08,TRUE,10,
-0.04000009,TRUE,15,
-0.04000009,TRUE,15,
-0.06000009,TRUE,20,
-0.04000009,TRUE,0,
-8.94E-08,TRUE,5,
-8.94E-08,TRUE,10,
-0.06000009,TRUE,15,
-0.08000009,TRUE,20,
-0.08000009,TRUE,0,
-0.08000009,TRUE,0,
-0.08000009,TRUE,5,
-0.06000009,TRUE,10,
-0.02000009,TRUE,15,
-0.04000009,TRUE,15,
-0.08000009,TRUE,15,
-0.08000009,TRUE,20,
0.3399999,TRUE,0,
-0.06000009,TRUE,5,
-0.06000009,TRUE,10,
-0.04000009,TRUE,15,
-0.02000009,TRUE,20,
-0.02000009,TRUE,20,
-0.06000009,TRUE,20,
-0.02000009,TRUE,20,
-8.94E-08,TRUE,20,
0.01999991,TRUE,20,
-0.02000009,TRUE,5,
0.01999991,TRUE,10,
-8.94E-08,TRUE,15,
-8.94E-08,TRUE,20,
-0.06000009,TRUE,20,
-8.94E-08,TRUE,20,
-0.04000009,TRUE,25,
0.03999991,TRUE,30,
-0.04000009,TRUE,35,
-0.04000009,TRUE,40,
-0.02000009,TRUE,40,
-8.94E-08,TRUE,40,
-0.04000009,TRUE,40,
-0.08000009,TRUE,40,
,,,
,,,
,,,
Average Timing,Accuracy,Highest Score,
-0.017037128,0.975,40,
