Timings,In Time,Score,SessionID
-8.94E-08,,,GHJV - 1224
0.3199999,FALSE,0,
0.1199999,TRUE,0,
0.3399999,FALSE,2,
0.07999991,TRUE,2,
-0.1400001,TRUE,2,
0.2799999,FALSE,3,
0.05999991,TRUE,3,
-0.1400001,TRUE,3,
0.07999991,TRUE,5,
-0.1200001,TRUE,5,
0.0999999,TRUE,6,
-0.06000009,TRUE,6,
0.1799999,FALSE,8,
0.1599999,FALSE,8,
-0.1000001,TRUE,8,
0.1999999,FALSE,8,
-0.1000001,TRUE,10,
0.1999999,FALSE,10,
-0.06000009,TRUE,10,
0.2199999,FALSE,11,
-8.94E-08,TRUE,11,
0.2999999,FALSE,11,
0.2599999,FALSE,11,
,,,
Average Timing,Accuracy,Highest Score,
0.094782511,0.565217391,11,
