Timings,In Time,Score,SessionID
-0.06000009,,,PDES - 2253
0.03999991,TRUE,5,
0.1799999,FALSE,10,
0.3199999,FALSE,10,
-0.06000009,TRUE,10,
-0.1000001,TRUE,10,
-0.1400001,TRUE,15,
0.2999999,FALSE,0,
-0.1000001,TRUE,10,
0.01999991,TRUE,20,
-0.08000009,TRUE,0,
0.01999991,TRUE,5,
0.03999991,TRUE,10,
0.1399999,TRUE,0,
0.1199999,TRUE,0,
0.2999999,FALSE,0,
0.3199999,FALSE,5,
0.3399999,FALSE,5,
-0.1200001,TRUE,5,
-8.94E-08,TRUE,5,
0.1399999,TRUE,5,
0.2799999,FALSE,5,
0.1799999,FALSE,5,
0.07999991,TRUE,5,
-0.06000009,TRUE,10,
-0.1400001,TRUE,0,
0.1599999,FALSE,5,
-0.1000001,TRUE,10,
0.1399999,FALSE,15,
0.2599999,FALSE,25,
0.1399999,FALSE,30,
0.2799999,FALSE,35,
-8.94E-08,TRUE,40,
0.2199999,FALSE,45,
0.1599999,FALSE,50,
0.1999999,FALSE,55,
,,,
Average Timing,Accuracy,Highest Score,
0.099428474,0.542857143,55,
