Timings,In Time,Score,SessionID
0.2884745,,,ULWD - 8074
0.2084745,FALSE,0,
-0.1715255,TRUE,0,
0.1884745,TRUE,0,
0.0684745,TRUE,20,
-0.1115255,TRUE,20,
0.0684745,TRUE,20,
-0.1315255,TRUE,40,
0.0884745,TRUE,40,
-0.1715255,TRUE,40,
0.1284745,TRUE,40,
-0.1315255,TRUE,40,
0.1684745,TRUE,40,
-0.0115255,TRUE,40,
0.2284745,FALSE,40,
0.008474503,TRUE,40,
0.2884745,FALSE,40,
0.0884745,TRUE,40,
-0.1315255,TRUE,40,
0.1684745,TRUE,40,
-0.0115255,TRUE,40,
0.2084745,FALSE,40,
-0.0515255,TRUE,40,
0.2484745,FALSE,40,
-0.0515255,TRUE,40,
0.2484745,FALSE,40,
0.008474503,TRUE,40,
0.2884745,FALSE,40,
0.0684745,TRUE,40,
-0.1515255,TRUE,40,
,,,
Average Timing,Accuracy,Highest Score,
0.056750362,0.75862069,40,
