Timings,In Time,Score,SessionID
0.2199999,,,RMHN - 4929
0.00E+00,TRUE,0,
-0.02000009,TRUE,0,
0.1799999,FALSE,0,
-0.02000009,TRUE,0,
0.1199999,TRUE,10,
0.07999991,TRUE,0,
0.07999991,TRUE,5,
0.07999991,TRUE,10,
0.07999991,TRUE,15,
0.1599999,FALSE,20,
0.1399999,FALSE,25,
0.1599999,FALSE,30,
0.05999991,TRUE,35,
0.0999999,TRUE,40,
0.07999991,TRUE,45,
0.2399999,FALSE,0,
0.01999991,TRUE,5,
0.05999991,TRUE,10,
0.05999991,TRUE,15,
0.0999999,TRUE,0,
0.1399999,FALSE,5,
0.0999999,TRUE,10,
0.1599999,FALSE,20,
0.1599999,FALSE,0,
0.1199999,TRUE,5,
0.1399999,FALSE,10,
0.1599999,FALSE,15,
0.1399999,FALSE,20,
0.1399999,FALSE,25,
0.1199999,TRUE,30,
0.05999991,TRUE,0,
0.0999999,TRUE,0,
0.00E+00,TRUE,0,
0.03999991,TRUE,5,
0.05999991,TRUE,10,
0.05999991,TRUE,15,
,,,
,,,
Average Timing,Accuracy,Highest Score,
9.61E-02,0.666666667,45,
