Timings,In Time,Score,SessionID
-0.06000009,,,UOLJ - 6883
-0.02000009,TRUE,0,
-8.94E-08,TRUE,1,
-8.94E-08,TRUE,1,
0.01999991,TRUE,1,
0.01999991,TRUE,1,
0.01999991,TRUE,1,
0.03999991,TRUE,2,
0.07999991,TRUE,4,
0.1199999,TRUE,4,
-0.08000009,TRUE,4,
0.1199999,TRUE,4,
0.2799999,FALSE,6,
0.03999991,TRUE,6,
0.3399999,FALSE,6,
0.07999991,TRUE,6,
-8.94E-08,TRUE,6,
0.05999991,TRUE,8,
0.03999991,TRUE,8,
0.05999991,TRUE,8,
0.05999991,TRUE,8,
0.05999991,TRUE,8,
0.07999991,TRUE,8,
0.07999991,TRUE,8,
0.0999999,TRUE,8,
0.1399999,TRUE,8,
0.0999999,TRUE,8,
0.0999999,TRUE,8,
0.0999999,TRUE,8,
0.1399999,TRUE,11,
0.0999999,TRUE,11,
0.1399999,TRUE,11,
0.07999991,TRUE,13,
0.07999991,TRUE,13,
0.03999991,TRUE,15,
0.03999991,TRUE,15,
0.03999991,TRUE,16,
0.05999991,TRUE,18,
0.0999999,TRUE,20,
0.1199999,TRUE,20,
0.1199999,TRUE,20,
0.1199999,TRUE,20,
0.07999991,TRUE,21,
0.1199999,TRUE,21,
0.03999991,TRUE,21,
0.01999991,TRUE,21,
-8.94E-08,TRUE,21,
0.03999991,TRUE,21,
0.03999991,TRUE,21,
0.03999991,TRUE,22,
0.05999991,TRUE,22,
0.05999991,TRUE,22,
0.0999999,TRUE,22,
0.1199999,TRUE,22,
0.07999991,TRUE,23,
0.05999991,TRUE,25,
0.03999991,TRUE,26,
0.05999991,TRUE,27,
0.07999991,TRUE,27,
0.1199999,TRUE,27,
0.1199999,TRUE,28,
0.1599999,FALSE,30,
0.1199999,TRUE,30,
-8.94E-08,TRUE,30,
0.01999991,TRUE,30,
-8.94E-08,TRUE,30,
0.01999991,TRUE,30,
0.03999991,TRUE,32,
,,,
,,,
Average Timing,Accuracy,Highest Score,
7.25E-02,0.955223881,32,
