Timings,In Time,Score,SessionID
-8.94E-08,,,YJKT - 1241
-0.06000009,TRUE,5,
-0.1000001,TRUE,5,
0.1399999,TRUE,5,
-0.08000009,TRUE,0,
-0.1400001,TRUE,5,
0.3199999,FALSE,10,
-0.08000009,TRUE,10,
-0.1000001,TRUE,15,
-0.1000001,TRUE,0,
0.3199999,FALSE,5,
-8.94E-08,TRUE,10,
-0.06000009,TRUE,15,
0.1399999,TRUE,0,
0.1799999,FALSE,5,
0.03999991,TRUE,0,
0.05999991,TRUE,5,
-8.94E-08,TRUE,0,
-0.04000009,TRUE,5,
0.3399999,TRUE,10,
0.3199999,FALSE,15,
0.2999999,FALSE,20,
0.0999999,TRUE,0,
0.1399999,TRUE,5,
0.1799999,FALSE,0,
0.0999999,TRUE,5,
0.3399999,TRUE,5,
-0.04000009,TRUE,5,
-0.1000001,TRUE,10,
0.07999991,TRUE,0,
,,,
,,,
Average Timing,Accuracy,Highest Score,
0.075861973,0.793103448,20,
